"State","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Rate of growth","Doubling/halving time (days)","New confirmed cases by infection date","Effective reproduction no.","Rate of growth","Doubling/halving time (days)"
"Alabama","348 (146 -- 787)","Likely decreasing","0.89 (0.71 -- 1.1)","-0.03 (-0.084 -- 0.023)","-23 (30 -- -8.3)","348","0.89","-0.03","-23"
"Alaska","307 (124 -- 750)","Likely decreasing","0.91 (0.72 -- 1.1)","-0.026 (-0.08 -- 0.032)","-27 (21 -- -8.7)","307","0.91","-0.026","-27"
"Arizona","4272 (2554 -- 8484)","Likely increasing","1 (0.95 -- 1.2)","0.014 (-0.015 -- 0.064)","51 (11 -- -46)","4272","1","0.014","51"
"Arkansas","904 (629 -- 1369)","Increasing","1.2 (1 -- 1.3)","0.044 (0.0063 -- 0.091)","16 (7.6 -- 110)","904","1.2","0.044","16"
"California","5028 (2364 -- 9845)","Likely decreasing","0.97 (0.75 -- 1.2)","-0.0078 (-0.072 -- 0.045)","-89 (15 -- -9.6)","5028","0.97","-0.0078","-89"
"Colorado","3145 (1598 -- 5999)","Likely increasing","1 (0.87 -- 1.1)","0.0068 (-0.036 -- 0.039)","100 (18 -- -19)","3145","1","0.0068","100"
"Connecticut","602 (337 -- 1865)","Likely increasing","1 (0.94 -- 1.4)","0.012 (-0.016 -- 0.1)","57 (6.6 -- -44)","602","1","0.012","57"
"Delaware","422 (240 -- 870)","Likely increasing","1.1 (0.94 -- 1.4)","0.028 (-0.017 -- 0.1)","25 (6.9 -- -41)","422","1.1","0.028","25"
"District of Columbia","83 (39 -- 232)","Stable","0.98 (0.84 -- 1.3)","-0.0042 (-0.046 -- 0.077)","-160 (9 -- -15)","83","0.98","-0.0042","-160"
"Florida","1025 (461 -- 3731)","Likely decreasing","0.91 (0.77 -- 1.2)","-0.025 (-0.065 -- 0.06)","-27 (11 -- -11)","1025","0.91","-0.025","-27"
"Georgia","820 (349 -- 2658)","Likely decreasing","0.94 (0.77 -- 1.3)","-0.016 (-0.065 -- 0.071)","-42 (9.7 -- -11)","820","0.94","-0.016","-42"
"Guam","21 (2 -- 112)","Likely decreasing","0.83 (0.41 -- 1.2)","-0.048 (-0.18 -- 0.053)","-14 (13 -- -3.8)","21","0.83","-0.048","-14"
"Hawaii","245 (142 -- 551)","Increasing","1.3 (1 -- 1.8)","0.068 (0.0074 -- 0.19)","10 (3.7 -- 94)","245","1.3","0.068","10"
"Idaho","588 (199 -- 1925)","Likely decreasing","0.95 (0.73 -- 1.2)","-0.015 (-0.076 -- 0.064)","-46 (11 -- -9.1)","588","0.95","-0.015","-46"
"Illinois","3771 (1620 -- 11530)","Likely increasing","1.1 (0.86 -- 1.4)","0.02 (-0.038 -- 0.1)","35 (6.8 -- -18)","3771","1.1","0.02","35"
